id_user,id_region,total_spend
75428,1,200.0
75435,1,187.5
75463,5,240.0
75475,1,240.0
75506,1,117.5
75563,1,187.0
75589,2,160.0
75622,3,119.0
75624,2,200.0
75696,2,81.0
75722,1,160.0
75746,1,105.0
75747,1,107.0
75750,1,800.0
75782,2,880.0
75807,2,80.0
75822,1,160.0
75898,1,106.0
75943,1,119.5
76009,1,187.0
76030,1,139.5
76030,3,240.0
76080,2,75.0
76205,1,364.0
76267,2,134.0
76268,3,178.0
76270,3,320.0
76282,2,200.0
76320,6,80.0
76395,2,240.0
76400,2,810.0
76444,1,200.0
76513,2,116.0
76542,2,240.0
76565,1,160.0
76620,1,200.0
76660,2,80.0
76668,2,80.0
76689,1,240.0
76814,1,160.0
76900,3,118.0
76904,1,107.0
76979,1,160.0
77012,2,80.0
77026,5,627.0
77040,3,240.0
77043,5,240.0
77046,1,146.5
77118,1,320.0
77163,1,92.5
77166,2,400.0
77172,1,160.0
77184,1,160.0
77224,5,111.5
77289,3,600.0
77290,2,108.0
77343,2,80.0
77344,1,227.0
77378,3,331.5
77387,3,320.0
77434,2,200.0
77454,1,400.0
77479,2,108.0
77480,3,169.0
77501,1,172.5
77545,1,160.0
77556,5,280.0
77571,5,200.0
77572,2,80.0
77591,3,332.5
77599,1,200.0
77677,1,166.5
77685,3,188.0
77754,1,112.5
77755,3,200.0
77793,1,92.5
77821,3,160.0
77828,2,160.0
77833,1,175.0
77842,2,160.0
77844,2,600.0
77848,5,200.0
77872,6,132.0
77880,3,560.0
77905,3,115.5
78039,1,240.0
78063,1,328.0
78096,2,160.0
78140,2,80.0
78180,5,126.5
78194,2,80.0
78213,3,280.0
78263,2,212.0
78276,1,97.0
78288,1,200.0
78313,3,320.0
78315,3,280.0
78353,1,240.0
78356,3,539.0
78412,2,80.0
78441,5,118.5
78460,3,160.0
78484,5,391.0
78500,2,80.0
78502,5,200.0
78549,2,80.0
78565,2,80.0
78576,5,103.5
78599,2,106.5
78603,1,160.0
78609,5,160.0
78610,5,374.0
78626,3,160.0
78634,2,431.0
78637,5,320.0
78663,5,219.0
78741,2,80.0
78767,5,172.5
78793,1,187.0
78846,5,200.0
78850,5,200.0
78857,5,152.0
78904,2,80.0
78917,1,180.5
78964,5,400.0
78970,5,161.0
78992,2,107.0
79002,5,244.5
79049,2,80.0
79062,5,107.0
79072,3,240.0
79074,5,960.0
79092,5,240.0
79093,5,560.0
79096,5,146.5
79183,5,400.0
79195,1,280.0
79251,5,160.0
79298,2,160.0
79351,2,80.0
79359,5,240.0
79366,2,80.0
79389,5,320.0
79397,5,320.0
79403,1,97.0
79404,1,320.0
79411,5,320.0
79420,2,240.0
79436,2,80.0
79453,2,80.0
79464,1,200.0
79465,2,80.0
79491,3,160.0
79491,6,80.0
79585,5,292.5
79617,5,200.0
79650,2,92.5
79690,3,123.0
79715,2,80.0
79760,5,240.0
79770,2,200.0
79798,5,160.0
79799,5,400.0
79868,2,97.0
79880,1,160.0
79888,5,480.0
79900,5,107.0
79906,5,400.0
79925,1,123.0
79932,2,100.0
79933,5,164.5
79939,5,187.0
79991,1,215.0
80001,5,164.5
80043,2,108.0
80059,5,320.0
80066,1,199.5
80081,1,160.0
80110,1,160.0
80164,2,92.5
80184,5,200.0
80207,2,80.0
80219,1,324.5
80222,1,440.0
80224,1,280.0
80236,3,160.0
80248,5,177.0
80252,1,107.0
80256,2,400.0
80266,1,160.0
80273,3,216.0
80302,2,80.0
80319,1,240.0
80320,2,80.0
80379,2,80.0
80379,5,101.5
80383,2,370.5
80394,2,80.0
80416,2,80.0
80464,3,121.0
80470,6,154.0
80504,5,320.0
80505,1,1200.0
80520,2,80.0
80584,1,150.0
80612,2,160.0
80626,1,200.0
80664,5,164.0
80674,2,160.0
80696,1,105.0
80717,2,267.0
80724,2,320.0
80738,2,132.0
80745,5,164.5
80762,3,160.0
80765,5,112.5
80769,5,337.5
80770,2,80.0
80789,1,200.0
80800,5,170.5
80818,5,107.0
80826,1,160.0
80887,3,160.0
80892,5,160.0
80904,2,80.0
80913,1,155.0
80928,1,160.0
80956,5,160.0
81034,2,80.0
81089,2,80.0
81090,3,280.0
81097,1,1840.0
81194,3,275.0
81211,2,107.0
81228,5,107.0
81264,5,667.0
81265,2,200.0
81273,5,240.0
81321,3,772.5
81330,2,160.0
81334,2,197.5
81349,1,229.0
81367,1,112.5
81375,5,140.0
81378,3,1200.0
81380,2,160.0
81387,6,80.0
81399,5,560.0
81401,5,205.0
81453,2,80.0
81477,5,1400.0
81483,2,200.0
81484,2,79.0
81507,3,200.0
81516,2,199.5
81554,5,200.0
81563,3,119.5
81579,5,101.5
81582,2,80.0
81625,3,324.5
81655,5,160.0
81688,1,118.5
81694,5,128.5
81715,3,185.0
81736,5,627.0
81749,3,200.0
81749,5,200.0
81765,3,116.5
81781,3,146.5
81789,5,480.0
81803,1,535.0
81821,3,480.0
81832,2,1030.5
81841,1,126.5
81859,2,84.5
81872,5,200.0
81873,5,182.5
81919,2,134.0
81929,3,320.0
81951,5,240.0
81982,5,280.5
81996,5,495.5
82016,2,999.5
82018,5,170.0
82045,5,427.0
82054,5,330.0
82070,2,80.0
82081,2,80.0
82150,2,200.0
82158,2,84.5
82167,1,172.5
82182,1,240.0
82198,5,192.5
82219,1,118.0
82225,2,80.0
82232,5,160.0
82263,3,160.0
82276,1,107.0
82286,1,112.5
82312,2,240.0
82331,3,150.0
82337,1,1000.0
82339,5,107.0
82357,2,231.5
